game_id,week,day,date,winner,loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL,atHome,TODiff,schedule_playoff,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
201010030lvr,4,Sun,2010-10-03,HOU,LVR,31,24,441,0,363,3,FALSE,3,FALSE,HOU,-3.5,44,Oakland Coliseum,FALSE,71,1,53,NA
201010030jax,4,Sun,2010-10-03,JAX,IND,31,28,337,0,406,2,TRUE,2,FALSE,IND,-7,46,EverBank Field,FALSE,81,1,30,NA
201010100sf,5,Sun,2010-10-10,PHI,SF,27,24,352,1,364,5,FALSE,4,FALSE,SF,-3,38.5,Candlestick Park,FALSE,75,1,51,NA
201010100cin,5,Sun,2010-10-10,TB,CIN,24,21,391,3,358,4,FALSE,1,FALSE,CIN,-7,38.5,Paul Brown Stadium,FALSE,81,2,32,NA
201010100was,5,Sun,2010-10-10,WAS,GB,16,13,373,1,427,2,TRUE,1,FALSE,GB,-3,45.5,FedEx Field,FALSE,72,0,46,NA
201010100cle,5,Sun,2010-10-10,ATL,CLE,20,10,338,1,269,3,FALSE,2,FALSE,ATL,-3,41.5,FirstEnergy Stadium,FALSE,66,9,NA,NA
201010100bal,5,Sun,2010-10-10,BAL,DEN,31,17,415,0,346,1,TRUE,1,FALSE,BAL,-8,39.5,M&T Bank Stadium,FALSE,70,6,40,NA
201010170lar,6,Sun,2010-10-17,LAR,LAC,20,17,300,0,287,1,TRUE,1,FALSE,LAC,-8.5,45,Edward Jones Dome,FALSE,72,0,NA,indoor
201010170was,6,Sun,2010-10-17,IND,WAS,27,24,469,3,335,2,FALSE,-1,FALSE,IND,-3,45,FedEx Field,FALSE,70,7,46,NA
201010170gb,6,Sun,2010-10-17,MIA,GB,23,20,381,1,359,1,FALSE,0,FALSE,GB,-3,44,Lambeau Field,FALSE,57,1,45,NA
201010170ne,6,Sun,2010-10-17,NE,BAL,23,20,394,2,377,0,TRUE,-2,FALSE,NE,-3,44.5,Gillette Stadium,FALSE,57,14,NA,NA
201010170chi,6,Sun,2010-10-17,SEA,CHI,23,20,353,0,307,0,FALSE,0,FALSE,CHI,-6,38,Soldier Field,FALSE,61,9,49,NA
201010170min,6,Sun,2010-10-17,MIN,DAL,24,21,188,1,314,2,TRUE,1,FALSE,MIN,-1.5,44,Mall of America Field,FALSE,72,0,NA,indoor
